song_id,title,year,album,cluster,pca_x,pca_y
68,פצצת אטום בשמים,2002,צימאון,0,-1.1640419,-1.899608
69,הו לעזאזל,2002,צימאון,2,-0.16323999,-0.31442073
70,צימאון,2002,צימאון,2,0.35131866,0.070522144
71,לא לקחתי ללב,2002,צימאון,2,0.87788564,-1.3275158
72,האהבה הישנה,1996,שניים,2,0.890675,-0.3294514
73,"לאן, לאן, לאן",1996,שניים,2,1.6218425,-1.1937631
74,סיפור רומנטי,1996,שניים,2,1.0727073,0.13751672
75,אוטובוס מס' 1,1996,שניים,2,0.8248023,0.026191354
76,זיכרון ורוד,1996,שניים,2,0.69622785,-1.8079987
77,מנגב לך את הדמעות,1996,שניים,2,1.628747,-0.32634446
78,זה מה שנשאר,1996,שניים,2,1.9742818,0.38147616
79,שיר על כל השאיפות,1996,שניים,2,0.954495,-0.38268262
80,מגע אנושי,1996,שניים,2,1.2191195,-2.1039026
81,הייתי והיינו,1996,שניים,2,0.47620958,-1.6667813
82,שניים,1996,שניים,2,1.2777914,-0.10287906
83,נקח לנו יום,1996,שניים,2,1.7062775,0.65366936
84,היא לא יודעת מה עובר עלי,1996,שניים,0,-0.19881362,-1.2285917
85,שישה,1996,שניים,2,1.4149405,-1.0472344
86,"דו""ח רצח",1996,שניים,2,0.5434096,0.12006761
87,"צרות בת""א",1996,שניים,2,0.5743967,0.43936282
88,אבסורד,1996,שניים,2,1.5197421,0.3269752
89,אור בקצה המנהרה,1996,שניים,2,1.2040414,-0.71165764
90,ריקוד סוף המאה,1996,שניים,2,1.5625064,-0.31488433
91,ירח,1992,ירח,0,-0.4176992,-0.75252575
92,כמו אז,1992,ירח,2,1.376009,-0.124451585
93,קצת משונה שלא נשארת,1992,ירח,2,0.95016634,0.15282162
94,שאלתי מה קרה,1992,ירח,2,1.1723297,-0.030472191
95,תגידי,1992,ירח,2,1.4013511,0.5836031
96,"הסכין, הרובה והאבן",1992,ירח,2,1.4801531,0.4289439
97,מביטים בים,1992,ירח,2,0.9991052,0.15948457
98,אני בא,1992,ירח,2,0.91962147,2.106962
99,אחרת אתה מת,1992,ירח,2,1.2207372,-0.80239695
100,ואלס בחמש ושלושים,1992,ירח,2,0.3035006,-0.3610285
101,פעם תורי ופעם תורך,1992,ירח,2,0.92575085,0.6703825
102,ערב בלי ירח,1992,ירח,2,1.4877994,0.8404992
103,ארץ חדשה,1988,חום יולי אוגוסט,2,0.7716694,0.3152021
104,"טלפני, טלפני",1988,חום יולי אוגוסט,2,1.5885488,0.99733496
105,עבד הממהר,1988,חום יולי אוגוסט,2,-0.20643912,-0.12386123
106,חום יולי אוגוסט,1988,חום יולי אוגוסט,2,0.25430325,-1.8748213
107,באיזשהו מקום,1988,חום יולי אוגוסט,2,1.0495418,1.1499468
108,לב שבור לרסיסים,1988,חום יולי אוגוסט,2,0.7039463,0.017158559
109,היית איתי הרי,1988,חום יולי אוגוסט,2,0.50781935,-0.6194343
110,בגרמניה לפני המלחמה,1988,חום יולי אוגוסט,2,0.88806856,-1.2495784
111,אני כבר מצטער,1988,חום יולי אוגוסט,2,0.9244388,-0.39774662
112,רומניה,1988,חום יולי אוגוסט,2,0.56244123,-0.8741193
113,נבראתי לך,1988,חום יולי אוגוסט,2,0.5045014,0.9312338
114,תחת שמי ים התיכון,1988,חום יולי אוגוסט,2,0.64882654,0.7605611
115,ימים כאלה,1988,חום יולי אוגוסט,2,0.9723805,-0.942989
116,או שזה הזמן,1988,חום יולי אוגוסט,2,1.6504217,1.8775263
117,כמו חצר גדולה,1988,חום יולי אוגוסט,2,0.06307095,-0.9573047
118,תרקוד,1984,תרקוד,2,0.3668117,-0.22633214
119,לא לזמן ממושך,1984,תרקוד,2,0.862205,0.7039994
120,צריך להתקדם,1984,תרקוד,2,0.9881735,0.088274725
121,וביחד נזדקן,1984,תרקוד,2,0.6319651,-0.11689027
122,בקומת הגג שלך,1984,תרקוד,2,1.5424523,1.1499735
123,רוב הזמן את אישתי,1984,תרקוד,2,0.94082594,0.6071815
124,איזו התחלה,1984,תרקוד,1,-0.37583396,2.3087087
125,מה רצינו להגיד,1984,תרקוד,2,0.6441744,-0.26773736
126,ועכשיו לנוע,1984,תרקוד,2,0.85701126,0.030065151
127,אף פעם לא תדעי,1979,דרכים,1,-0.5561191,2.538067
128,צוותא,1979,דרכים,2,0.9374243,-0.50654405
129,אחרי הכל את שיר,1979,דרכים,2,1.0829055,0.36246556
130,אתמול חלפו הציפורים,1979,דרכים,1,-1.2556552,1.0075179
131,שינויי מזג האוויר,1979,דרכים,1,-1.4285874,1.8260411
132,פתאום כשלא באת,1979,דרכים,2,-0.36543003,-1.008989
133,שיר חייל,1979,דרכים,1,-1.0685986,0.68932706
134,עפיפונים,1979,דרכים,1,-0.62139815,1.0809233
135,גבר הולך לאיבוד,1978,גבר הולך לאיבוד,1,-2.9990127,2.0025055
136,רק עלה,1978,גבר הולך לאיבוד,1,-2.1057916,2.1680503
137,את מספרת,1978,גבר הולך לאיבוד,1,-1.9036145,1.3313819
138,אל תוך העיר,1978,גבר הולך לאיבוד,0,-1.3606153,0.7888264
139,האיש ההוא,1978,גבר הולך לאיבוד,2,0.2460857,0.21943882
140,את אינך יודעת,1978,גבר הולך לאיבוד,0,-1.5773416,-0.6442917
141,בלילות אני מתגעגע,1978,גבר הולך לאיבוד,0,-2.770144,-0.3631975
142,כמו ציפור,1978,גבר הולך לאיבוד,0,-2.4558744,0.07661113
